"id","group","HVA","VMA"
1,1,-0.0241865831191198,0.108210030599069
2,1,0.264091682317233,0.174945093400206
3,1,-0.25943394633027,0.383044137480561
4,1,-0.00457315838712366,0.183578658133797
5,1,0.644886810756589,0.452690666873965
6,1,-0.109035677902191,0.199923481301425
7,1,-0.927988145852101,0.86064115620437
8,1,0.81334033308118,0.0672315917982638
9,1,-0.173021015909089,0.334179538397259
10,1,0.0797017209702826,0.0223710827173345
11,1,0.111706780310786,-0.404903629728683
12,1,-0.0971708935686639,0.678857732206083
13,1,0.74690065793083,-0.517925502273773
14,1,0.122759431976566,-0.461033852756156
15,1,0.149651529689856,0.628235214735446
16,1,0.170222792416495,0.614382300261285
17,1,0.203489540411494,0.722875285707619
18,1,-0.300048564354744,0.149859422530764
19,1,-0.139243490787423,0.0616924999993
20,1,0.167772684781355,-0.348457130611352
21,1,-0.049119831373743,-0.064432540948406
22,1,0.754754287817449,0.0109342202342329
23,1,-0.0156495006751361,0.100247577296185
24,1,-0.245530909573862,0.0153736899918478
25,2,0.172065601209379,0.0498914408365796
26,2,0.129856686222511,-0.138681491377539
27,2,0.0108163614350114,-0.316719897251576
28,2,0.00783856417891364,-0.326993689019691
29,2,-0.00954296304022122,-0.139461262812324
30,2,0.263232108582002,-0.463432896985298
