"id","group","RHM","UVM","LHM","LVM"
1,1,3.07141060551334,2.58479244816516,2.45166249631141,3.21207124587599
2,1,2.39296020932809,0.813491715788334,0.994351325302921,1.15847817198771
3,1,1.39041444385652,1.05600577585499,0.622524488904145,2.36727241958226
4,1,1.11396517984511,0.860449596396809,0.974700156935529,1.24740710031806
5,1,2.31871050505092,0.256973435622529,2.03094225623775,0.682069332586039
6,1,1.59826392837918,1.26123715449344,0.93458929107348,1.89155417237864
7,1,-0.239136879766975,0.101239699297183,0.29340514532951,1.35169570888763
8,1,0.310351036290445,0.0742871653742477,1.23703541155682,0.0849960280123386
9,1,2.40103233842631,1.48937587970286,0.752997912071491,2.98443039569362
10,1,4.36706138422931,3.54420507316979,4.13942053404694,3.70640916402148
11,1,1.82258526871698,1.16067377088589,0.245305234238375,0.491644219224278
12,3,2.61288083049554,1.66844246519237,1.61278284772958,2.88293396249858
13,3,0.978636707875597,0.901243251255529,1.48937587970286,1.35824791245868
14,3,3.46741826666925,1.10327676806658,1.23966025520563,1.84376502899634
15,3,1.17927710605912,0.500295983727438,0.597630888077882,1.73599237990066
16,3,1.03112303825715,-0.100461833129541,2.45166249631141,0.463449326069116
17,3,3.04323414802973,1.07528858146517,1.87411941827081,1.87363324684446
18,3,3.17106152587803,0.424768451332841,-0.119627814389966,0.919398804048216
19,3,2.69331828028181,0.989298434358392,1.2619797679228,2.58838969499808
20,3,1.95618921116479,1.9764196374051,0.0674367160095144,2.07133349484188
21,3,0.99440401550248,0.105372741294083,1.32236563481774,1.33222764226826
22,3,0.824182153996376,1.30054901003391,0.223262108545633,0.98360959189184
23,3,1.78656598256026,0.889491782386356,1.95107247390815,1.32721156638942
24,2,2.6600072771072,1.49304233713914,1.7892229719949,1.64984554180762
25,2,2.88449764676382,2.30015676988065,2.36137500687964,1.7398786347486
26,2,2.41830923427909,2.65277867680885,1.69918456585077,1.37659565306353
27,2,1.77697073960942,2.69186010578335,2.34421562416714,1.36522038835517
28,2,2.0071031846869,2.43932093465025,2.19348599339983,1.84221282917375
29,2,2.79890714385027,2.53370742486971,3.13808003910398,0.928982842773171
