"id","att_cond","RHM","IC_NE","UVM","IC_NW","LHM","IC_SW","LVM","IC_SE"
1,1,2.6600072771072,2.05836604906909,1.49304233713914,1.64913702203014,1.7892229719949,1.56610403737369,1.64984554180762,2.59964062699616
2,1,2.88449764676382,2.26302853818935,2.30015676988065,2.54728282220068,2.36137500687964,2.35634490103902,1.7398786347486,2.72549830458671
3,1,2.41830923427909,2.79614921640242,2.65277867680885,1.88667611607858,1.69918456585077,1.32305810500309,1.37659565306353,1.93129063190738
4,1,1.77697073960942,2.442921264253,2.69186010578335,2.83867525947382,2.34421562416714,1.49230771442859,1.36522038835517,1.44750790351771
5,1,2.0071031846869,1.91185771964346,2.43932093465025,2.3196185546714,2.19348599339983,1.81014642792359,1.84221282917375,1.61607020112515
6,1,2.79890714385027,2.88173076442265,2.53370742486971,2.84300600186246,3.13808003910398,2.37325143896819,0.928982842773171,1.91368996807698
1,2,3.60953976105157,3.6310998365605,3.72426266908933,3.80736921787776,3.76530804738929,3.11326052136846,2.67258157162428,3.70674065497024
2,2,3.31149562590351,3.1444093726648,2.57093007393319,3.09465433864054,3.40502831724463,3.2837219119925,2.49485794796016,2.68849166475654
3,2,2.90692575594064,3.32824592107509,3.58646546899295,3.27150305371749,3.80828303129963,2.8527217254853,2.42634584134862,3.25397528883109
4,2,3.12137580604504,2.95888624211089,2.55094020534364,2.89153450607255,3.00390893138326,2.86562442165728,2.6353535624909,2.84038056922345
5,2,2.43129103632857,2.47941147543503,2.91731410716873,3.12369079756589,2.80219408763063,2.14353462562521,2.29839056367559,3.04253304978964
6,2,3.18621185842616,3.35620159341045,3.3375991542805,3.35817831098034,3.27450176973585,2.94669091052553,2.00561313324786,2.57558919391524
